PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1258.776,1259.926,1.15,1259.926,1263.926,right,1,0.52,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,45,45,7,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1263.926,1264.376,0.45,1264.376,1268.376,left,1,0.501,,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,,,,,,0,46,46,24,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1268.377,1269.926,1.55,1269.927,1273.926,left,1,0.618,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,47,47,20,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1273.927,1274.726,0.8,1274.727,1278.726,left,1,0.388,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,1,0,48,12,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1278.726,1279.426,0.7,1279.427,1283.426,right,1,0.504,,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,,,,,,1,1,49,45,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1283.427,1283.826,0.4,1283.827,1287.826,left,1,0.489,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,1,2,50,22,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1287.828,1288.776,0.95,1288.778,1292.777,right,1,0.407,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,1,3,51,0,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1292.777,1294.177,1.4,1294.177,1298.177,right,1,0.475,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,1,4,52,44,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1298.177,1298.727,0.55,1298.727,1302.727,left,1,0.52,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,1,5,53,20,1,,,,,,,
,,2026-01-20_12h25.58.775,ant_ver113,2025.2.3,MacIntel,58.82352941,129131,,,,,1302.727,1303.527,0.8,1303.527,1307.527,right,1,0.59,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,1,6,54,7,1,,,,,,,
