location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,326.15,327.4,1.25,327.4,331.401,right,1,0.449,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,20,20,18,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,331.402,332.001,0.6,332.002,336.003,left,1,0.493,,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,0,21,21,4,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,336.003,336.853,0.85,336.854,340.855,right,1,0.449,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,22,22,35,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,340.856,341.955,1.1,341.956,345.957,right,1,0.45,,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,,,,,,0,23,23,0,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,345.957,347.307,1.35,347.308,351.309,right,1,0.525,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,24,24,26,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,351.309,352.76,1.45,352.76,356.762,left,1,0.459,,,,,,,,,stim/lower.png,stim/neutralLeft.png,-1,left,0,,,,,,0,25,25,38,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,356.762,357.762,1,357.763,361.763,right,1,0.459,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,26,26,11,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,361.763,362.213,0.45,362.214,366.215,left,1,0.417,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,27,27,31,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,366.215,367.466,1.25,367.466,371.467,left,1,0.575,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,28,28,20,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,371.468,372.167,0.7,372.168,376.169,left,1,0.467,,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,29,29,15,1
1,,,2026-03-13_14h53.12.892,ant_ver113,2025.2.3,MacIntel,52.63157895,130530,130530,,,,,376.169,377.619,1.45,377.62,381.621,left,0,0.442,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,30,30,19,1
