PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1399.9846,1400.6329,0.65,1400.6352,1404.6329,left,1,0.5618,,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,,,,,,0,37,37,20,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1404.6338,1405.6828,1.05,1405.6843,1409.6827,right,1,0.5751,,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,,,,,,0,38,38,7,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1409.6842,1411.0327,1.35,1411.0342,1415.0325,right,1,0.5143,,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,,,,,,0,39,39,35,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1415.0341,1416.2329,1.2,1416.2342,1420.233,left,1,0.4517,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,40,40,31,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1420.2338,1420.733,0.5,1420.7339,1424.7324,right,1,0.8537,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,0,41,41,29,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1424.7331,1425.9332,1.2,1425.934,1429.933,right,1,0.9215,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,42,42,26,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1429.9337,1430.9328,1,1430.9339,1434.9327,right,1,0.7824,,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,,,,,,0,43,43,13,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1434.9334,1435.3322,0.4,1435.3335,1439.3351,right,1,1.0159,,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,,,,,,0,44,44,18,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1439.3359,1440.2821,0.95,1440.2831,1444.2818,right,1,0.5492,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,45,45,43,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1444.2825,1445.3323,1.05,1445.3336,1449.3325,left,1,0.834,,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,46,46,1,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1449.3335,1449.8829,0.55,1449.884,1453.8847,left,1,0.6532,,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,,,,,,0,47,47,4,1,,,,,,,,,
,,2026-01-20_13h46.43.819,ant_ver113,2025.2.3,Win32,58.82352941,126309,,,,,1453.8858,1454.6849,0.8,1454.6855,1458.6818,left,1,0.7858,,,,,,,,,stim/blank.png,stim/neutralLeft.png,1,left,0,,,,,,1,0,48,42,1,,,,,,,,,
