location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,561.563,562.713,1.15,562.714,566.713,right,1,0.582,,,,,,,,,stim/blank.png,stim/neutralRight.png,-1,right,0,,,,,,0,33,33,36,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,566.713,567.762,1.05,567.763,571.762,right,1,0.413,,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,,,,,,0,34,34,43,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,571.762,572.712,0.95,572.713,576.711,right,1,0.581,,,,,,,,,stim/lower.png,stim/incongRight.png,-1,right,0,,,,,,0,35,35,19,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,576.712,577.562,0.85,577.562,581.561,left,1,0.631,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,0,36,36,16,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,581.562,582.411,0.85,582.411,586.411,left,1,0.431,,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,,,,,,0,37,37,5,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,586.412,586.81,0.4,586.811,590.81,left,1,0.432,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,0,38,38,14,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,590.811,592.26,1.45,592.261,596.261,left,1,0.565,,,,,,,,,stim/blank.png,stim/neutralLeft.png,-1,left,0,,,,,,0,39,39,32,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,596.261,596.96,0.7,596.96,600.959,left,1,0.599,,,,,,,,,stim/both.png,stim/neutralLeft.png,1,left,0,,,,,,0,40,40,31,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,600.96,601.609,0.65,601.61,605.609,left,1,0.616,,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,,,,,,0,41,41,15,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,605.609,606.059,0.45,606.059,610.058,right,1,0.482,,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,,,,,,0,42,42,11,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,610.059,610.759,0.7,610.76,614.759,left,1,0.465,,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,,,,,,0,43,43,1,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,614.759,616.058,1.3,616.059,620.058,right,1,0.649,,,,,,,,,stim/centre.png,stim/incongRight.png,1,right,0,,,,,,0,44,44,26,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,620.058,621.208,1.15,621.208,625.207,left,1,0.465,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,0,45,45,22,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,625.208,626.207,1,626.208,630.207,left,1,0.533,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,0,46,46,10,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,630.208,631.307,1.1,631.308,635.307,left,1,0.464,,,,,,,,,stim/lower.png,stim/congLeft.png,-1,left,0,,,,,,0,47,47,12,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,635.308,635.956,0.65,635.957,639.956,left,1,0.665,,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,,,,,,1,0,48,16,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,639.957,641.256,1.3,641.257,645.256,left,1,0.516,,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,,,,,,1,1,49,10,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,645.257,646.006,0.75,646.006,650.006,right,1,0.563,,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,,,,,,1,2,50,29,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,650.006,650.555,0.55,650.556,654.555,left,1,0.448,,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,,,,,,1,3,51,6,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,654.556,655.305,0.75,655.306,659.305,left,1,0.416,,,,,,,,,stim/centre.png,stim/neutralLeft.png,1,left,0,,,,,,1,4,52,22,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,659.305,660.555,1.25,660.556,664.554,left,1,0.5,,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,,,,,,1,5,53,14,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,664.555,666.054,1.5,666.055,670.054,right,1,0.547,,,,,,,,,stim/centre.png,stim/incongRight.png,-1,right,0,,,,,,1,6,54,25,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,670.055,670.554,0.5,670.555,674.554,right,1,0.5,,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,,,,,,1,7,55,44,1,,,,,,,,,
1,,,2026-02-27_14h43.31.074,ant_ver113,2025.2.3,MacIntel,45.45454545,129614,129614,,,,,674.554,676.053,1.5,676.054,680.053,right,1,0.432,,,,,,,,,stim/upper.png,stim/neutralRight.png,1,right,0,,,,,,1,8,56,27,1,,,,,,,,,
