location,PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,participant,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.order
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,328.7665,329.2662,0.5,329.2667,333.2662,right,1,,,,,,,,stim/centre.png,stim/congRight.png,1,right,0,0.4892,,,,,,,0,26,26,2,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,333.2665,334.0663,0.8,334.0669,338.0663,left,1,,,,,,,,stim/centre.png,stim/neutralLeft.png,-1,left,0,0.3946,,,,,,,0,27,27,14,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,338.0667,339.0164,0.95,339.0172,343.0153,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.4018,,,,,,,0,28,28,9,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,343.0157,343.8153,0.8,343.816,347.8162,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.5479,,,,,,,0,29,29,45,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,347.8165,349.3661,1.55,349.3666,353.3664,right,1,,,,,,,,stim/blank.png,stim/congRight.png,-1,right,0,0.518,,,,,,,0,30,30,18,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,353.367,354.7163,1.35,354.7168,358.7164,right,1,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,0.5002,,,,,,,0,31,31,13,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,358.7167,359.1663,0.45,359.167,363.1663,right,1,,,,,,,,stim/upper.png,stim/incongRight.png,1,right,0,0.5097,,,,,,,0,32,32,11,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,363.167,363.6161,0.45,363.6164,367.6155,right,1,,,,,,,,stim/blank.png,stim/incongRight.png,-1,right,0,1.4403,,,,,,,0,33,33,7,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,367.6158,369.1662,1.55,369.1666,373.1662,right,1,,,,,,,,stim/blank.png,stim/incongRight.png,1,right,0,0.6593,,,,,,,0,34,34,40,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,373.1667,373.8163,0.65,373.8168,377.8161,right,1,,,,,,,,stim/lower.png,stim/congRight.png,-1,right,0,0.475,,,,,,,0,35,35,43,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,377.8165,378.8161,1,378.8166,382.8162,left,1,,,,,,,,stim/centre.png,stim/incongLeft.png,-1,left,0,0.5899,,,,,,,0,36,36,21,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,382.8166,383.4163,0.6,383.4171,387.4162,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.7224,,,,,,,0,37,37,39,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,387.4166,388.0161,0.6,388.0167,392.0163,right,1,,,,,,,,stim/both.png,stim/incongRight.png,-1,right,0,0.506,,,,,,,0,38,38,3,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,392.0166,393.1661,1.15,393.1666,397.166,right,1,,,,,,,,stim/both.png,stim/congRight.png,1,right,0,0.4518,,,,,,,0,39,39,47,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,397.1663,397.7163,0.55,397.7171,401.7161,left,1,,,,,,,,stim/blank.png,stim/incongLeft.png,-1,left,0,0.6246,,,,,,,0,40,40,16,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,401.7163,402.2154,0.5,402.2159,406.2162,left,1,,,,,,,,stim/lower.png,stim/incongLeft.png,-1,left,0,0.55,,,,,,,0,41,41,10,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,406.2169,406.6163,0.4,406.6167,410.6153,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.4259,,,,,,,0,42,42,5,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,410.6155,411.7156,1.1,411.7163,415.716,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,1,left,0,0.5112,,,,,,,0,43,43,6,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,415.7163,416.7662,1.05,416.767,420.7661,left,1,,,,,,,,stim/blank.png,stim/congLeft.png,-1,left,0,0.5158,,,,,,,0,44,44,15,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,420.7664,422.1653,1.4,422.1659,426.1663,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,0.522,,,,,,,0,45,45,35,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,426.1669,426.7161,0.55,426.7165,430.7152,left,1,,,,,,,,stim/upper.png,stim/incongLeft.png,1,left,0,0.6893,,,,,,,0,46,46,33,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,430.7156,431.5161,0.8,431.5167,435.5159,left,1,,,,,,,,stim/blank.png,stim/incongLeft.png,1,left,0,0.7933,,,,,,,0,47,47,20,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,435.5163,436.8161,1.3,436.8166,440.8154,left,1,,,,,,,,stim/both.png,stim/neutralLeft.png,-1,left,0,0.5735,,,,,,,1,0,48,17,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,440.8157,442.0658,1.25,442.0663,446.0658,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,0.911,,,,,,,1,1,49,23,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,446.0664,447.4652,1.4,447.4657,451.4661,left,1,,,,,,,,stim/centre.png,stim/congLeft.png,-1,left,0,0.5849,,,,,,,1,2,50,9,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,451.4668,452.6154,1.15,452.6161,456.616,right,1,,,,,,,,stim/upper.png,stim/congRight.png,1,right,0,0.4179,,,,,,,1,3,51,30,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,456.6163,457.4154,0.8,457.4159,461.416,right,1,,,,,,,,stim/lower.png,stim/neutralRight.png,-1,right,0,0.4076,,,,,,,1,4,52,28,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,461.4164,462.1663,0.75,462.1671,466.1659,right,1,,,,,,,,stim/blank.png,stim/neutralRight.png,1,right,0,0.5025,,,,,,,1,5,53,39,1,,,,,,,
1,,,2026-02-23_20h48.49.547,ant_ver113,2025.2.3,MacIntel,120.4819277,129850,129850,,,,,466.1663,466.8661,0.7,466.8665,470.8661,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.4456,,,,,,,1,6,54,45,1,,,,,,,
