PreExperiment.started,PreExperiment.stopped,date,expName,psychopyVersion,OS,frameRate,id,PracInstruc.started,PracInstruc.stopped,PracInstruct2.started,PracInstruct2.stopped,fixation.started,fixation.stopped,fixDuration,trial.started,trial.stopped,resp.keys,resp.corr,feedback.started,feedback.stopped,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,cue,tar,pos_loc,corrAns,targOrientation,resp.rt,resp.duration,MainInstruc.started,MainInstruc.stopped,instResp.keys,instResp.rt,instResp.duration,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,Rest.started,Rest.stopped,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,End.started,End.stopped
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,422.7971,423.646,0.85,423.6468,427.6461,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,-1,right,0,0.4967,,,,,,,0,44,44,35,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,427.6468,428.4464,0.8,428.4474,432.4455,right,1,,,,,,,,stim/both.png,stim/congRight.png,-1,right,0,0.4164,,,,,,,0,45,45,13,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,432.4459,433.3465,0.9,433.3474,437.3454,right,1,,,,,,,,stim/both.png,stim/neutralRight.png,1,right,0,0.399,,,,,,,0,46,46,23,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,437.3459,438.2465,0.9,438.2475,442.2455,left,1,,,,,,,,stim/upper.png,stim/congLeft.png,1,left,0,0.4321,,,,,,,0,47,47,24,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,442.2461,443.1954,0.95,443.1961,447.1965,right,0,,,,,,,,stim/centre.png,stim/congLeft.png,1,left,0,0.3331,,,,,,,1,0,48,4,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,447.197,448.0463,0.85,448.0472,452.0465,right,1,,,,,,,,stim/centre.png,stim/congRight.png,-1,right,0,0.4497,,,,,,,1,1,49,0,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,452.047,453.4464,1.4,453.4474,457.4464,left,0,,,,,,,,stim/both.png,stim/incongRight.png,1,right,0,0.4893,,,,,,,1,2,50,44,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,457.4468,458.4955,1.05,458.4963,462.4964,right,1,,,,,,,,stim/blank.png,stim/congRight.png,1,right,0,0.5313,,,,,,,1,3,51,45,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,462.497,463.5455,1.05,463.5464,467.5456,right,0,,,,,,,,stim/both.png,stim/incongLeft.png,1,left,0,0.4153,,,,,,,1,4,52,1,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,467.5463,468.9465,1.4,468.9474,472.9455,left,1,,,,,,,,stim/both.png,stim/congLeft.png,-1,left,0,0.4988,,,,,,,1,5,53,5,1,,,,,,,,,
,,2026-01-20_10h40.01.595,ant_ver113,2025.2.3,MacIntel,59.88023952,118852,,,,,472.946,473.4464,0.5,473.4472,477.4455,right,1,,,,,,,,stim/centre.png,stim/neutralRight.png,1,right,0,0.3981,,,,,,,1,6,54,29,1,,,,,,,,,
